Date,Default rate,,,,
1/1/2000,0.014779163,,,,
4/1/2000,0.013093912,,,,
7/1/2000,0.012152796,,,,
10/1/2000,0.013504458,,,,
1/1/2001,0.011878805,,,,
4/1/2001,0.009539611,,,,
7/1/2001,0.00980259,,,,
10/1/2001,0.009126864,,,,
1/1/2002,0.008854655,,,,
4/1/2002,0.01079967,,,,
7/1/2002,0.01051977,,,,
10/1/2002,0.00706121,,,,
1/1/2003,0.007492269,,,,
4/1/2003,0.008699274,,,,
7/1/2003,0.00956736,,,,
10/1/2003,0.01348132,,,,
1/1/2004,0.01787651,,,,
4/1/2004,0.0173225,,,,
7/1/2004,0.02197449,,,,
10/1/2004,0.02735297,,,,
1/1/2005,0.02987917,,,,
4/1/2005,0.03696599,,,,
7/1/2005,0.04362524,,,,
10/1/2005,0.05012155,,,,
1/1/2006,0.05738612,,,,
4/1/2006,0.06096224,,,,
7/1/2006,0.06402168,,,,
10/1/2006,0.07013139,,,,
1/1/2007,0.0716264,,,,
4/1/2007,0.07370859,,,,
7/1/2007,0.07482892,,,,
10/1/2007,0.09133115,,,,
1/1/2008,0.06996258,,,,
4/1/2008,0.05280111,,,,
7/1/2008,0.05088237,,,,
10/1/2008,0.0355041,,,,
1/1/2009,0.012420914,,,,
4/1/2009,0.008603949,,,,
7/1/2009,0.008352546,,,,
10/1/2009,0.00735394,,,,
1/1/2010,0.006748858,,,,
4/1/2010,0.005944449,,,,
7/1/2010,0.004302657,,,,
10/1/2010,0.003809127,,,,
1/1/2011,0.003900388,,,,
4/1/2011,0.005030307,,,,
7/1/2011,0.004306408,,,,
10/1/2011,0.002772994,,,,
1/1/2012,0.002992195,,,,
4/1/2012,0.002859278,,,,
7/1/2012,0.002250107,,,,
10/1/2012,0.002143754,,,,
1/1/2013,0.00417106,,,,
4/1/2013,0.003803623,,,,
7/1/2013,0.004521792,,,,
10/1/2013,0.005495554,,,,
1/1/2014,0.005765269,,,,
4/1/2014,0.005922338,,,,
7/1/2014,0.005851835,,,,
10/1/2014,0.005507628,,,,
1/1/2015,0.00448818,,,,
4/1/2015,0.003528715,,,,
7/1/2015,0.003967758,,,,
10/1/2015,0.004004386,,,,
1/1/2016,0.003360398,,,,
4/1/2016,0.002779258,,,,
7/1/2016,0.002713792,,,,
10/1/2016,0.002513757,,,,
1/1/2017,0.003194244,,,,
4/1/2017,0.003361158,,,,
7/1/2017,0.003539755,,,,
10/1/2017,0.003757465,,,,
1/1/2018,0.003950839,,,,
4/1/2018,0.004058752,,,,
7/1/2018,0.003650757,,,,
10/1/2018,0.003590615,,,,
1/1/2019,0.003411339,,,,
4/1/2019,0.002568744,,,,
7/1/2019,0.002158305,,,,
10/1/2019,0.002042572,,,,
1/1/2020,0.002008138,,,,
4/1/2020,0.002055758,,,,
7/1/2020,0.001001392,,,,
10/1/2020,0.001206937,,,,
1/1/2021,0.001391006,,,,
4/1/2021,0.001537582,,,,
7/1/2021,0.001761863,,,,
10/1/2021,0.001641491,,,,
1/1/2022,0.001720554,,,,
4/1/2022,0.001966975,,,,
7/1/2022,0.001621564,,,,
10/1/2022,0.00082826,,,,
1/1/2023,0.000234435,,,,
4/1/2023,6.5192E-06,,,,